"asn","name","source"
48143,"Mirantis IT","RIPE"
48144,"Orb","PeeringDB"
48145,"Securitas","PeeringDB"
48146,"Triple A Fibra S.L","RIPE"
48147,"Amin IDC","PeeringDB"
48148,"SVIAZATOMINFORM, Ltd. Company","RIPE"
48149,"Ivanteevskie telecommunicacii","RIPE"
48150,"Open Wi-Fi","RIPE"
48151,"Red Bull","PeeringDB"
48152,"Digital Realty Germany","PeeringDB"
48153,"ORWO Net","RIPE"
48154,"Thomas Horx & Christian Wetzig GbR","RIPE"
48155,"University of Ruse ""Angel Kanchev""","RIPE"
48156,"Sanoma Oyj","RIPE"
48157,"INK","PeeringDB"
48158,"DigitalOne","RIPE"
48159,"TIC","PeeringDB"
48160,"OTK","RIPE"
48161,"NextGen Communications SRL","PeeringDB"
48162,"FOP Bihunets Ishtvan Stepanovych","RIPE"
48163,"Akamai International","RIPE"
48164,"Drustvo za telekomunikacije Orion telekom doo Beograd-Zemun","RIPE"
48166,"Fortex-Telecom","PeeringDB"
48167,"Cognizant Technology Solution Romania S.R.L","RIPE"
48169,"Telesvit","RIPE"
48170,"Ibrahim SEN","RIPE"
48171,"Atos IT Solutions and Services AB","RIPE"
48172,"Inter Telecom","PeeringDB"
48173,"The unbelievable Machine Company","PeeringDB"
48174,"FIBIA P/S","RIPE"
48175,"Advanced Networking Technologies (A.N.T.) Company for Information Technology","RIPE"
48176,"OOO SET","PeeringDB"
48177,"IGT INTERACTIVE","RIPE"
48178,"eCall Limited Liability Company","RIPE"
48179,"Pays Voironnais Network","RIPE"
48180,"Innovation Technology","RIPE"
48181,"Prolan","RIPE"
48182,"ENCOMPASS DIGITAL MEDIA SERVICES","RIPE"
48183,"Uniwersytet Przyrodniczo Humanistyczny w Siedlcach","RIPE"
48184,"Tax Committee under the Government of the Republic of Tajikistan","RIPE"
48185,"AMEN SAS","RIPE"
48186,"Trends ICT Groep","RIPE"
48187,"ARABAKO FORU ALDUNDIA / DIPUTACION FORAL DE ALAVA","RIPE"
48188,"K-Service","RIPE"
48189,"APART Sp. z o.o","RIPE"
48190,"Tele2 Ekaterinburg","PeeringDB"
48191,"Logos Technologies S.r.l","RIPE"
48192,"ECS corporate NV","RIPE"
48193,"PITER-IX Frankfurt Route Servers","PeeringDB"
48195,"Blokhin Evgeniy Aleksandrovich","RIPE"
48196,"IMS Networks SAS","RIPE"
48197,"UNISTREAM COMMERCIAL BANK (JSC)","RIPE"
48198,"AVTOTRANS-EURO","RIPE"
48200,"Opteamax","PeeringDB"
48201,"JSC ""ER-Telecom Holding""","RIPE"
48202,"ODEC, CENTRO DE CALCULO Y APLICACIONES INFORMATICAS","RIPE"
48203,"Simorgh Scientific Network Services and Communication Company PJS","RIPE"
48204,"Everest Data Centres","PeeringDB"
48205,"Smart-Network SRL","PeeringDB"
48206,"netpro","PeeringDB"
48208,"Narodowe Archiwum Cyfrowe","RIPE"
48209,"OOO LANCRONIX","RIPE"
48210,"Bonne Terre","RIPE"
48211,"Infinity Telecom SK s.r.o","RIPE"
48212,"MTS PJSC","RIPE"
48213,"ABICOM","PeeringDB"
48216,"Join-stock company ""Internet Exchange""MSK-IX""","RIPE"
48217,"PJSC ""Sberbank""","RIPE"
48218,"HiHo","RIPE"
48219,"3DATA","RIPE"
48220,"Fouredge","PeeringDB"
48221,"EMPRESAS MUNICIPALES DE SEVILLA, A.I.E","RIPE"
48222,"TRIGLAV, Zdravstvena zavarovalnica, d.d","RIPE"
48223,"Senator Telecom","RIPE"
48224,"INTERDOM Pawel Jesiolowski","PeeringDB"
48225,"JSC Telsi","RIPE"
48226,"OOO ""INFOKOM""","RIPE"
48227,"Swietokrzyski Urzad Wojewodzki","RIPE"
48228,"Arvato Rus","RIPE"
48229,"Starlight Media","PeeringDB"
48230,"LLC MONOLITH.NET","RIPE"
48232,"RSERVERS TECH","PeeringDB"
48233,"Netroniks EOOD","RIPE"
48234,"OOO ""IT-Region""","RIPE"
48235,"Kirill Vechera","RIPE"
48236,"JSC Togliattikhimbank","RIPE"
48237,"Etihad Etisalat (Mobily)","PeeringDB"
48238,"Atos IT Services","RIPE"
48239,"IT-TV","PeeringDB"
48240,"OPENTEAM SAS","RIPE"
48241,"Telecom Technologies","RIPE"
48242,"Macromex SRL","RIPE"
48243,"Miratel","RIPE"
48244,"HS Cloud","RIPE"
48246,"PKO BP FINAT Sp. z o.o","RIPE"
48247,"Government of Kaliningrad region","RIPE"
48248,"Liberty Czestochowa Sp. z o.o","RIPE"
48249,"Capital Telecom","PeeringDB"
48250,"Web Dedicated SRL","RIPE"
48251,"NOIXA","PeeringDB"
48252,"Digicel AFG","PeeringDB"
48253,"SAADWNET","RIPE"
48254,"20i","PeeringDB"
48255,"Abtran","RIPE"
48256,"Croatia Osiguranje","RIPE"
48257,"Компьютерная информационная технология","PeeringDB"
48258,"SPIE ICS","RIPE"
48259,"Marcin Zalewski trading as MK2","RIPE"
48260,"TELEWEB bvba","RIPE"
48262,"Vira Abr Ayandeh Jahan Company","RIPE"
48263,"Schweizerische Bundesbahnen SBB","RIPE"
48264,"Rotop","RIPE"
48265,"ITirana","PeeringDB"
48266,"Catixs Network","PeeringDB"
48267,"TANIOTEL Sp. z o.o","RIPE"
48268,"Inter Fiber","PeeringDB"
48269,"Astralus","RIPE"
48270,"iNET Solutions for computer","RIPE"
48271,"CJSC ""TELECOMMUNICATIONS COMPANY ""DUN""","RIPE"
48272,"IP Port","RIPE"
48273,"essensys plc","PeeringDB"
48274,"Etelaresani Khadamat Hamannet","RIPE"
48275,"Republican Unitary Enterprise ""Abkhazsvyaz""","RIPE"
48276,"LEVEL-MSK IP-Svyaz","PeeringDB"
48277,"Unified system of trade procedures","RIPE"
48278,"UKRDATACOM","PeeringDB"
48279,"Delta-Net","RIPE"
48281,"Abr Tose'eh Darya Group Company PJSC","RIPE"
48282,"Hosting technology","RIPE"
48283,"SIDN - Anycast","PeeringDB"
48284,"SWU TeleNet","PeeringDB"
48285,"robtex","PeeringDB"
48286,"Mavi Net Elektronik iletisim Bil.Hizm.San.ve Tic.Ltd.Sti","RIPE"
48287,"RU-CENTER","PeeringDB"
48288,"EWII Bredbånd","PeeringDB"
48289,"Dadeh Pardazan Sabz Alborz Co.(P.J.S.)","RIPE"
48290,"Gruenenthal Pharma GmbH & Co. KG","RIPE"
48291,"ARIA SpA","PeeringDB"
48292,"intibu","PeeringDB"
48293,"Uniontel","PeeringDB"
48294,"Spectrum Internet","PeeringDB"
48295,"Paychex Deutschland","RIPE"
48296,"Cephalonet","PeeringDB"
48298,"MINISTERSTVO VNITRA CR","RIPE"
48299,"Digita","PeeringDB"
48301,"Yang Fang Networks","PeeringDB"
48302,"OOO ""Telecom GKhK""","RIPE"
48303,"OVIS IT Consulting","PeeringDB"
48304,"Digmia s.r.o","RIPE"
48305,"Noraina","PeeringDB"
48306,"Democratic Voice of Burma Foundation","RIPE"
48307,"Nestle Nespresso","RIPE"
48308,"OOO TTC","RIPE"
48309,"Ariana Gostar Spadana (PJSC)","RIPE"
48310,"IMS Dynamics","PeeringDB"
48311,"I-BS.PL Sp. z.o.o","RIPE"
48312,"PJSC ALROSA","RIPE"
48313,"Aksigorta Anonim Sirketi","RIPE"
48314,"IP-Projects GmbH & Co. KG","PeeringDB"
48315,"Alpha Networks","PeeringDB"
48316,"Regional State Institution ""Regional Center of automated information resource of Tomsk Region""","RIPE"
48317,"FOP Davydov V D","RIPE"
48318,"Variti international","RIPE"
48319,"TUVTURK Kuzey Tasit Muayene Istasyonlari Yapim ve Isletim A.S","RIPE"
48320,"KETIS","RIPE"
48321,"RialCom","RIPE"
48322,"MTS PJSC","RIPE"
48323,"PP Neiron Systems","RIPE"
48324,"webgo","RIPE"
48325,"BazTel","PeeringDB"
48326,"DataNetworks","PeeringDB"
48327,"Ray-Svyaz","RIPE"
48328,"retarus","PeeringDB"
48329,"Northern Data Software","RIPE"
48330,"FOP Sinev Maksim Viktorovich","RIPE"
48331,"Sun Communications S.R.L","RIPE"
48332,"CLARFON","RIPE"
48333,"RTS","RIPE"
48334,"Koldau24","RIPE"
48335,"GAJNET-DATACENTERS-SERVICE   {Gostaresh Ertebatat Jahan Argham PJSC}","PeeringDB"
48336,"Dazoot Software SRL","RIPE"
48337,"Linode CorpNet","PeeringDB"
48338,"Compania Nationala Loteria Romana SA","RIPE"
48339,"Raiffeisen Rechenzentrum","RIPE"
48340,"Axioma-Service","RIPE"
48341,"Proveedores de Presencia en Internet S.L","RIPE"
48342,"Deloitte & Touche","RIPE"
48343,"PJSC Rosseti Moscow Region","RIPE"
48344,"Sven Wefels - Netzwerk 68a","PeeringDB"
48345,"Abavia S.r.l","PeeringDB"
48346,"Jarventaustan Kylakuituosuuskunta","RIPE"
48347,"MTW.RU","PeeringDB"
48348,"cloudbuilders","PeeringDB"
48349,"ARQA Technologies","RIPE"
48350,"Zenvoo Sagl","RIPE"
48351,"Earthlink SRL","RIPE"
48352,"LIS Logistische Informationssysteme","RIPE"
48353,"NOVA TV d.d","RIPE"
48354,"CityLink","RIPE"
48355,"VarnaIX Route Servers","PeeringDB"
48356,"Moein Dadosetad Golestan Co. (P.J,S)","RIPE"
48357,"K4X","PeeringDB"
48358,"AT SENS BANK","RIPE"
48359,"Hesabgar Pardaz Gharb PJSC","RIPE"
48360,"Traffics Softwaresysteme fuer den Tourismus","RIPE"
48361,"Global Telecommunications","RIPE"
48362,"Stadtwerke Feldkirch","PeeringDB"
48363,"Adman","RIPE"
48364,"Radim Pytela trading as AC Vyskov","RIPE"
48365,"NUR","RIPE"
48366,"Inforoom","PeeringDB"
48367,"Franz Dax","RIPE"
48368,"Comteh.ru","RIPE"
48369,"M-Telecom","RIPE"
48370,"Westcom","RIPE"
48371,"WestLan","PeeringDB"
48372,"HANZA MEDIA d.o.o","RIPE"
48373,"Spearhead Systems SRL","RIPE"
48374,"gobler.net","PeeringDB"
48375,"Tibra Trading Europe","PeeringDB"
48376,"Bryhni.com AS","RIPE"
48377,"PJSC Credit Europe Bank Ukraine","RIPE"
48378,"TERRAFOOD","RIPE"
48379,"I.M.Gubkin Russian State University of Oil and Gas","RIPE"
48380,"ATTIKI ODOS","RIPE"
48381,"CENTURIA","RIPE"
48382,"Microdata Service SRL","RIPE"
48383,"Invest Mobile","RIPE"
48384,"SML Maschinengesellschaft mbH","RIPE"
48385,"INFOAURA","RIPE"
48386,"Misaka Network","RIPE"
48387,"Christian Seitz","RIPE"
48388,"Splosna Bolnisnica Izola","RIPE"
48389,"Privet, Internet","RIPE"
48390,"DsNetwork","PeeringDB"
48391,"Pars Data Processing Company (LTD)","RIPE"
48392,"Ahoy Rotterdam N.V","RIPE"
48393,"JSCB ""Bank of Georgia""","RIPE"
48394,"Venis","PeeringDB"
48395,"Ministerstwo Kultury i Dziedzictwa Narodowego","RIPE"
48396,"Public Joint Stock Company Mining and Metallurgical Company ""Norilsk Nickel""","RIPE"
48397,"Unipart Group","RIPE"
48398,"DINIT d.o.o","RIPE"
48399,"Linxdatacenter","PeeringDB"
48400,"MTS PJSC","RIPE"
48401,"KROND SOLUTIONS SRL","RIPE"
48402,"VIOUSLY","PeeringDB"
48403,"Planeetta Internet Oy","RIPE"
48404,"Yury Vladimirovich Nekulitsy","RIPE"
48405,"CGI IT Czech Republic s.r.o","RIPE"
48406,"Siemens Industry Software","RIPE"
48407,"TigrisNet","RIPE"
48408,"Localitel","PeeringDB"
48409,"NTK","RIPE"
48411,"FOP Samoylenko Oleksandr Volodymirovich","RIPE"
48412,"Podsystem","RIPE"
48413,"WhiteHat","PeeringDB"
48414,"Serbia BroadBand-Srpske Kablovske mreze d.o.o","RIPE"
48415,"JSC Georgian Card","RIPE"
48416,"Information Network","RIPE"
48417,"ITS akciova spolecnost","PeeringDB"
48418,"SKYNET S.A.R.L","RIPE"
48419,"SALUS, Ljubljana, d.d","RIPE"
48420,"Digital Solutions","RIPE"
48421,"PJSC Rostelecom","RIPE"
48422,"IT-STARCOM","PeeringDB"
48423,"Accenture Outsourcing S.R.L","RIPE"
48424,"GLOBITEL","PeeringDB"
48425,"OEDIV Oetker Daten-und Informationsverarbeitung KG","RIPE"
48426,"""OVER-LINK"" s.a.s","RIPE"
48427,"VISOVISION S.L","RIPE"
48428,"DPD Polska","PeeringDB"
48429,"Ural State University of Economics","RIPE"
48430,"Perviy TSOD","RIPE"
48431,"Bozorg Net-e Aria","RIPE"
48432,"Comcable SA","RIPE"
48434,"Tebyan-e-Noor Cultural-Artistic Institute","RIPE"
48435,"DevonStudio Sp. z o.o","RIPE"
48437,"PP ""Merezha""","RIPE"
48438,"Corbina Telecom","PeeringDB"
48439,"PE ""Centre for Innovative Technologies""","RIPE"
48440,"Ekvia","RIPE"
48441,"Society with limited liability MagLAN","RIPE"
48442,"JSC Vladivostok Avia","RIPE"
48443,"BHNIX Route Servers","PeeringDB"
48444,"Dark Group","RIPE"
48445,"Tieto Sweden AB","RIPE"
48446,"Hostersi Sp. z o.o","RIPE"
48447,"Sectigo","RIPE"
48448,"ALTANNA SAS","RIPE"
48450,"Buzachi Operating","RIPE"
48451,"Prazska energetika, a.s","RIPE"
48452,"Traffic Broadband Communications","PeeringDB"
48453,"CNETWORK","PeeringDB"
48455,"Man Investments","RIPE"
48457,"Standard Assistance","PeeringDB"
48458,"Uniqa Insurance JSC","RIPE"
48459,"COMPANIA DE INFORMATICA APLICATA SA","RIPE"
48460,"ServerHouse","RIPE"
48461,"stepping stone","PeeringDB"
48462,"Neocom","RIPE"
48463,"Tradition Financial Services","RIPE"
48464,"Futuro Exito","PeeringDB"
48466,"1Access Sweden AB","RIPE"
48467,"Pronet Russia","PeeringDB"
48468,"Triumph Intertrade","RIPE"
48469,"mnemonic AS","RIPE"
48470,"Joint Stock Company MTU Kristall","RIPE"
48471,"TOV ""FORT-POST""","RIPE"
48472,"Dialcom","PeeringDB"
48473,"Towercom a.s","RIPE"
48474,"Libli","PeeringDB"
48475,"Closed Joint Stock Company Oskolnet","RIPE"
48476,"Montazh Contact","RIPE"
48477,"JSC ""RUSNARBANK""","RIPE"
48478,"Vostok Telecom","PeeringDB"
48479,"KUBAN-TELECOM","RIPE"
48480,"AltNet","PeeringDB"
48481,"KINGISEPP-ONLINE","RIPE"
48482,"Wuerth Itensis","RIPE"
48483,"PAYONE","RIPE"
48484,"IGN","PeeringDB"
48485,"Crane","RIPE"
48486,"Leder und Schuh","RIPE"
48487,"LoVo","PeeringDB"
48488,"OJSC TNT-Broadcasting Network","RIPE"
48489,"EUROCORP AEPEY","RIPE"
48490,"OPHOS SYSTEM","RIPE"
48491,"Herbert Ospelt Anstalt","RIPE"
48492,"I.Q Online for Internet Services and Communications","RIPE"
48493,"TFM NETWORKS","RIPE"
48494,"BUKO","RIPE"
48495,"Telia Company AB","RIPE"
48496,"Sia Nano IT","RIPE"
48497,"Avencom Telekom Hizmetleri Ltd Sti","RIPE"
48498,"Sochi-Online","RIPE"
48499,"CJSC Aeroclub","RIPE"
48500,"Irpinia Net-Com SRL","PeeringDB"
48501,"Init3 BV","PeeringDB"
48502,"ForteBank JSC","RIPE"
48503,"Tele2 Kazakhstan","PeeringDB"
48504,"OpenIP","PeeringDB"
48505,"Kylos","PeeringDB"
48506,"Metical SRL","RIPE"
48507,"SibMediaFon","PeeringDB"
48508,"Cryptocom","RIPE"
48509,"Korotenko Mariia Volodymyrivna","RIPE"
48510,"Albtelecom Sh.a","RIPE"
48511,"Sector Telecom","RIPE"
48512,"EPEX SPOT S.E","RIPE"
48514,"Stiftelsen Chalmers Studenthem","PeeringDB"
48515,"Praktika","RIPE"
48516,"Idea Getin Leasing","RIPE"
48517,"Destiny N.V","RIPE"
48518,"ADD-ON MULTIMEDIA SAS","RIPE"
48519,"Knipp Media","PeeringDB"
48520,"CCV Group","RIPE"
48521,"AZUR DATACENTER SAS","RIPE"
48522,"CGl Nederland","PeeringDB"
48523,"ArcelorMittal Poland","RIPE"
48524,"INTERRA telecommunications","PeeringDB"
48525,"JSC Uzum Bank","RIPE"
48526,"Proximus Luxembourg (Secondary AS)","PeeringDB"
48527,"OJSC Chelyabenergosbyt","RIPE"
48528,"Ad Valem Technologies","PeeringDB"
48529,"Mochabrain","RIPE"
48530,"Stavropol Computer Networks","RIPE"
48531,"Join-stock company ""Internet Exchange""MSK-IX""","RIPE"
48532,"JSC ""ER-Telecom Holding""","RIPE"
48533,"LLC ""TANHOST""","RIPE"
48534,"Centrum Informatyki Statystycznej","RIPE"
48535,"Network Kazakhstan","RIPE"
48536,"TSG Interactive Services","RIPE"
48537,"Nova Communication SRL","RIPE"
48538,"Gorev Turizm Tasimacilik Reklam Gida Tarim Insaat Sanayi Ticaret Ltd. Sti","RIPE"
48539,"Bifrost Systems","PeeringDB"
48540,"METTLER-TOLEDO INTERNATIONAL INC., Wilmington, Delaware, Greifensee Branch","RIPE"
48541,"MTS PJSC","RIPE"
48542,"START TELECOM Mahdud Masuliyyatli Camiyyati","RIPE"
48543,"DATAGROUP BIT Hamburg","RIPE"
48544,"Tecnotel Servizi Tecnologici","PeeringDB"
48545,"ING-DiBa","RIPE"
48546,"SIA LETA","RIPE"
48547,"Mac Tower","RIPE"
48548,"JSCB FORSHTADT (JSC)","RIPE"
48549,"Bringo Group","RIPE"
48550,"SnapServ","PeeringDB"
48551,"Sindad Network Technology","RIPE"
48552,"OJSC The Russian Armed Forces Broadcasting Company ZVEZDA","RIPE"
48553,"Marketaxess Europe","RIPE"
48554,"3W Infra","RIPE"
48555,"Iranian Information Technology","RIPE"
48556,"ROMANIAN SOFTWARE SRL","RIPE"
48557,"PE Aristambayeva Taisiia Anatolyevna","RIPE"
48558,"M-Line","RIPE"
48559,"Infomex","PeeringDB"
48560,"TOV ""Torgovyi Dim Vikter Plus""","RIPE"
48561,"NP Automir CJSC","RIPE"
48562,"EQUINIX (SERVICES)","RIPE"
48563,"AVA TELECOM INTERNATIONAL SRL","RIPE"
48564,"Dstny A/S","PeeringDB"
48565,"Poczta Polska Spolka Akcyjna","RIPE"
48566,"OJSC Far Eastern Bank","RIPE"
48567,"MEDIKA D.D","RIPE"
48568,"Haskoli Islands","RIPE"
48569,"NIXUS NETWORKS S.L","RIPE"
48570,"Auriga Kore","RIPE"
48571,"efectRO","PeeringDB"
48572,"Flughafen Koeln/Bonn","RIPE"
48573,"NFS Telecom","PeeringDB"
48574,"T-Mobile Czech Republic a.s","RIPE"
48575,"Swiss IT Security","RIPE"
48576,"Dr. Risch Anstalt","RIPE"
48577,"Hygie Italia srl","RIPE"
48578,"Nokian Tyres","RIPE"
48579,"ELASTX","PeeringDB"
48580,"JKP Informatika","RIPE"
48581,"MythicalKitten","PeeringDB"
48582,"ngena","RIPE"
48583,"BUSINESSBOX, Limited Liability Company","RIPE"
48584,"Sarnica-Net","RIPE"
48585,"CLEVERNET","PeeringDB"
48586,"BAIKAL-IX","PeeringDB"
48587,"Private Entreprise Zharkov Mukola Mukolayovuch","RIPE"
48588,"Prorental Oü","PeeringDB"
48589,"""LIPTEL""","RIPE"
48590,"Litasco","RIPE"
48591,"Ipreo","RIPE"
48592,"Shabakeh Gostar Dorna Cooperative","RIPE"
48593,"IT EXPERTS S.R.L","RIPE"
48594,"WISTEE SAS","RIPE"
48595,"IE Parhomenko Aleksey Aleksandrovich","RIPE"
48596,"InterNetworX Management","PeeringDB"
48598,"Norigin Media AS","RIPE"
48599,"6Secure Global","RIPE"
48600,"LLC Intercom Technology","RIPE"
48601,"Mobtaker Tejarat Novin Vira","RIPE"
48602,"Connect plus","PeeringDB"
48603,"Arjen Zonneveld","RIPE"
48604,"ZAO N-Region","RIPE"
48605,"GetServers","RIPE"
48606,"Route36 Tunnel Broker","PeeringDB"
48607,"SP Mikhael Petrovich Boykov","RIPE"
48608,"Mellat Insurance Public Joint Stock Company","RIPE"
48609,"KPMG SLOVENIJA, podjetje za revidiranje, d.o.o","RIPE"
48611,"Cablestreet","PeeringDB"
48612,"MTS PJSC","RIPE"
48613,"CTRE INFORMATIQUE RECOUVREMENT SUD OUEST","RIPE"
48614,"ITSOFT","RIPE"
48615,"PJSC MegaFon","RIPE"
48616,"Datasoft S.R.L","RIPE"
48617,"BANCA NETWORK INVESTIMENTI SPA","RIPE"
48618,"Oulun DataCenter Oy","RIPE"
48619,"Service Online","RIPE"
48620,"Beaming","PeeringDB"
48621,"Kreditna banka Zagreb d.d","RIPE"
48622,"AITNET","RIPE"
48623,"CYPRUS Development Bank","RIPE"
48624,"Free Technologies Excom S.L","RIPE"
48625,"Comfortel","RIPE"
48626,"Mediasat s.c","PeeringDB"
48627,"X","RIPE"
48628,"CoreISP","RIPE"
48629,"ICLIK","PeeringDB"
48630,"Thomas Eriksen","RIPE"
48631,"Odine Solutions FZ","RIPE"
48632,"BTS HOLDINGS PLC","RIPE"
48633,"KAN Sp. z o.o","RIPE"
48634,"VIDEOTIME spa MEDIASET group","PeeringDB"
48635,"CLDIN","PeeringDB"
48636,"Keratronik Safety Sp. z o.o","RIPE"
48637,"Ukrainian state Enterprise of the Post Connection ""UKRPOSHTA""","RIPE"
48638,"Cronos NV","PeeringDB"
48639,"Rentsmart","RIPE"
48640,"MAZ, Mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social N. 11","RIPE"
48641,"Syntegra Telecom","PeeringDB"
48642,"K Telecom Ldt","PeeringDB"
48643,"Geoff Networks","RIPE"
48644,"Semele Telekomunikasyon","PeeringDB"
48645,"SOLVINITY-NL-2","PeeringDB"
48646,"Stefan Dunkel","PeeringDB"
48647,"Solvay SA","RIPE"
48648,"K-Link","PeeringDB"
48649,"National depository of Ukraine, PLC","RIPE"
48650,"Anton Tytiuk","RIPE"
48651,"Ural Cable Networks","RIPE"
48652,"Tnex","RIPE"
48653,"Slovenske zeleznice, d.o.o","RIPE"
48654,"Balnet","PeeringDB"
48655,"TechVow","RIPE"
48656,"OJSC Joint-Stock Commercial Bank ""IndustrialBank""","RIPE"
48657,"Premium System AB","RIPE"
48658,"Bastien ROUSSEL trading as Technyvue","RIPE"
48659,"Wide-Net","PeeringDB"
48660,"Talido Bilisim Teknolojileri A.S","RIPE"
48661,"AIRWAYNET, a.s","RIPE"
48662,"well-served","RIPE"
48663,"Portfast","RIPE"
48664,"Cooperative Society ""Miski Informatsiini Systemy""","RIPE"
48665,"Bukovinian State Medical University","RIPE"
48666,"Centre for Strategic Planning of FMBA of Russia","RIPE"
48667,"AKVILON","RIPE"
48668,"Gorset","RIPE"
48669,"ADMIN-DEP SYSTEMS SRL-D","RIPE"
48670,"UNIS","RIPE"
48671,"FIRE CREDIT SRL","RIPE"
48672,"OKCI BANK JSC","RIPE"
48673,"Department of Information-Communication Technologies and Information Security of Kursk Region","RIPE"
48674,"UAProstir","RIPE"
48675,"Deltatelecom","RIPE"
48676,"Accord Telecom","RIPE"
48678,"PENTECH","PeeringDB"
48679,"Consultant","RIPE"
48680,"Netpower IT Solutions AS","RIPE"
48681,"Genossenschaft Migros Aare","RIPE"
48682,"IP Space","PeeringDB"
48683,"Bilink","PeeringDB"
48684,"Viking Host","RIPE"
48685,"Opin Kerfi","PeeringDB"
48686,"oRe Networks","RIPE"
48688,"Thales UK","RIPE"
48689,"Webglobe, a.s","RIPE"
48690,"General Logistics Systems Poland Sp. z o.o","RIPE"
48691,"Specialist","RIPE"
48692,"Likhno Dmitriy trading as Luganet","RIPE"
48693,"Rices Privately owned enterprise","RIPE"
48694,"IT Futura Marcin Bartnik","PeeringDB"
48695,"Etihad Atheeb Telecom /GO Telecom","PeeringDB"
48696,"TEMP","RIPE"
48697,"Amadeus Soluciones Tecnologicas","RIPE"
48698,"Net IP","RIPE"
48699,"Data Pool","RIPE"
48701,"Cairo Amman Bank","RIPE"
48702,"ENGIE","PeeringDB"
48703,"CAISSE NATIONALE DE L'ASSURANCE MALADIE","RIPE"
48704,"Freshwave Services","RIPE"
48705,"AEGON TOWARZYSTWO UBEZPIECZEN NA ZYCIE SA, Sucursala FLORESTI","RIPE"
48706,"KERRIDGE COMMERCIAL SYSTEMS (KSH)","RIPE"
48707,"Marcin Waligorski Greener","PeeringDB"
48708,"Omax Network d.o.o","RIPE"
48709,"World of connections","RIPE"
48710,"Mediterraneum XX. S.L","RIPE"
48711,"Dmitriy V. Kozmenko","RIPE"
48712,"""Info-Net"" Uslugi Teleinformatyczne S.C","PeeringDB"
48713,"PJSC Moscow city telephone network","RIPE"
48714,"E4C Group","RIPE"
48715,"Sefroyek Pardaz Engineering","RIPE"
48716,"PS Internet Company Network","PeeringDB"
48719,"Intelsvyaz","PeeringDB"
48720,"VIP-TELECOM-SERVICE","RIPE"
48721,"Flyservers","RIPE"
48722,"CristalNET","PeeringDB"
48723,"LLC RT-INFORM","RIPE"
48724,"Business Partnership","RIPE"
48725,"Agrosvyaz-M","RIPE"
48726,"EET Group A/S","RIPE"
48727,"Phu Adamek","PeeringDB"
48728,"Vodafone Qatar","PeeringDB"
48729,"HOSTKEY","RIPE"
48730,"ARTNET","RIPE"
48731,"Federal State Budgetary Educational Institution of Higher Education ""Voronezh State Agrarian University named after Emperor Peter I""","RIPE"
48732,"PEERES-TELECOM","PeeringDB"
48733,"JSC. OKBM Afrikantov","RIPE"
48734,"Echosyn Europe","RIPE"
48735,"DELTA Digital Friesenbichler & Co Ges.m.b.H","RIPE"
48736,"TRIDENT SERVICII SI MENTENANTA SA","RIPE"
48737,"Dorabase Veri Merkezi Hizmetleri A.S","RIPE"
48738,"Teleset","RIPE"
48739,"SPUTNIK","RIPE"
48740,"Online Money Transfer S.A.L","RIPE"
48741,"DATAPHOTON","PeeringDB"
48742,"EURO.NET.PL","PeeringDB"
48743,"SYNKR Holdings","RIPE"
48744,"Cdiscount SA","RIPE"
48745,"ICOM","RIPE"
48746,"Air Traffic Services Authority","RIPE"
48747,"Lukovitnet","RIPE"
48748,"Modern Telecommunications Network","RIPE"
48749,"Internet Resources Management SRL","RIPE"
48750,"MEDIAPOST SAS","RIPE"
48751,"United Nations Logistics Base","RIPE"
48754,"SOBIS SOLUTIONS SRL","RIPE"
48755,"Flower Era","PeeringDB"
48756,"TURK TELECOM INTERNATIONAL UA","PeeringDB"
48757,"TrustInfo","RIPE"
48758,"Fibrenet","RIPE"
48759,"OOO NPP POLYPROM","RIPE"
48760,"Cyber_Folks","RIPE"
48761,"Digivity","PeeringDB"
48762,"Iran Aseman Airlines plc","RIPE"
48763,"LLC ""SMART CENTER""","RIPE"
48764,"Comdate AB","RIPE"
48765,"""Simtech"" Tomasz Nir, Robert Zimnowoda Sp. J","RIPE"
48766,"Tecan Trading","RIPE"
48767,"Blycka","PeeringDB"
48768,"BMNETWORKS","PeeringDB"
48769,"Jacobacci & Partners SpA","RIPE"
48770,"Assist","RIPE"
48772,"GLOBUS MARINE INTERNATIONAL d.o.o","RIPE"
48773,"Satiari Ertebat Engineering Company","RIPE"
48774,"Gen energija d.o.o","RIPE"
48775,"Nashnet Rivne","RIPE"
48776,"Ricola","RIPE"
48777,"DARC","PeeringDB"
48778,"IHK Gesellschaft fuer Informationsverarbeitung mbH","RIPE"
48780,"OLTELECOM JSC","RIPE"
48781,"AVK-computer","PeeringDB"
48782,"European Border and Coast Guard Agency - Frontex","RIPE"
48783,"Porta One-Chernihiv","RIPE"
48784,"ADNOV SAS","RIPE"
48785,"Erdenreich Datentechnik","RIPE"
48786,"BIOFARM SA","RIPE"
48787,"Avagostar Sarv","RIPE"
48788,"""MTS Digital""","RIPE"
48789,"RFC Internet","PeeringDB"
48790,"USTRONET","PeeringDB"
48791,"EBITDA Sp. z o.o","RIPE"
48792,"Webzilla","RIPE"
48793,"DE-CIX Madrid Route Servers","PeeringDB"
48794,"Jadransko Osiguranje d.d","RIPE"
48795,"IP6.cloud","RIPE"
